TASK,category,,
hi:middleware soa suite 11g request,non-automatable,,
create new vip url: gdc.cummins.com,non-automatable,,
apex do it yourself framework access request,non-automatable,,
appworx:policy request system (prs) request,non-automatable,,
dd907 : sw install request cmi-349464,non-automatable,,
windows:request no: cidm-b93umu,non-automatable,,
windows:request no: cidm-b93ulm,non-automatable,,
im270 : sw install request cmi-658441,non-automatable,,
"port opening dcdn-b8xmcd:  approved
see approval database for details.",non-automatable,,
unix:sharepoint access request,non-automatable,,
web: wisc request,non-automatable,,
windows:create a new file share,non-automatable,,
web:onepay extras stage deployment,non-automatable,,
web:chemlab web application access request,non-automatable,,
notes-premium freight request access request,non-automatable,,
##dcom##unix: support request for a server,non-automatable,,
ku731 : sw uninstall request cmi-670795,non-automatable,,
domains block request,non-automatable,,
unix:mcparts request,non-automatable,,
cannot connect to cummins wifi network,non-automatable,,
"modification to dcdn-b98kqf:  approved
see approval database for details.",non-automatable,,
\\ceciswputil01\cn.bei.cecihq\localsharedfolders\abo hr\cci hr,non-automatable,,
oracle:  support request for a server,non-automatable,,
\\cfcsswputil01\cn.sha.cmirep\localsharedfolders\general_globalpower,non-automatable,,
windows:grant or modify access to an existing file share,non-automatable,,
windows: request no: cidm-b9cmmk,non-automatable,,
windows: ;support request for a server,non-automatable,,
windows:network infrastructure support request,non-automatable,,
appworx:please provide information about as below  redc outage on 16 th feb.,non-automatable,,
windows:restore a network file or directory ânot m: or k: drive,non-automatable,,
unix:request for server configuration upgrade. server: ftdcslsdb586. please do the needful.,non-automatable,,
web:global engine tracking system (gets) access request,non-automatable,,
reopen: create a new file share,non-automatable,,
user registration access request,non-automatable,,
web:policy request system (prs) request,non-automatable,,
web: cummins online login access (cola) request,non-automatable,,
web:testops request,non-automatable,,
web:rapidserve web (rsw) request,non-automatable,,
unix-bash: fork: retry: resource temporarily unavailable,non-automatable,,
hi: mcparts request,non-automatable,,
john e edwin  //  unity dif 8.0 sp6,non-automatable,,
block request- email,non-automatable,,
ps5 -fe033 : sw install request cmi-347870,non-automatable,,
windows: update the dns,non-automatable,,
km618 : sw install request cmi-387699,non-automatable,,
"port opening dcdn-b9bmaj:  approved
see approval database for details.",non-automatable,,
windows:ip : cummins enterprise directory (ced) access request,non-automatable,,
appworx:ebu non-erp invoicing solution (eni) request,non-automatable,,
ip=network infrastructure support request,non-automatable,,
unix: vertex request,non-automatable,,
ps5 -po101 : sw install request cmi-384397,non-automatable,,
web:please create ssl certificate for request number : 10506,non-automatable,,
\\ceciswputil01\cn.bei.rch\localsharedfolders\ces vpi&vpc,non-automatable,,
mv928 : sw install request cmi-604313,non-automatable,,
block request - url,non-automatable,,
remedy q addition request,non-automatable,,
km618 : sw install request cmi-638721,non-automatable,,
windows:local printer,non-automatable,,
email address block-exec@management-office-ssl-portal-8d360148ced1a5718fe5.network,non-automatable,,
unix:onepay extras request,non-automatable,,
web:please create ssl certificate for request number : 10508,non-automatable,,
mv928 : sw install request cmi-645719,non-automatable,,
appworx: appworx request,non-automatable,,
unix:engineering time tracking access request,non-automatable,,
appworx: obiee - cpg fridley access request,non-automatable,,
windows: request no: cidm-b9bsa4,non-automatable,,
web:onepay extras stage default gateway,non-automatable,,
windows:request no: cidm-b8s5fs,non-automatable,,
windows:request no: cidm-b8s5b3,non-automatable,,
us.col.com\localsharedfolders\t18-ev and v\colorado mapping,non-automatable,,
"port opening dcdn-b98l8l:  approved
see approval database for details.",non-automatable,,
web:replacement  engine  request request,non-automatable,,
cv499 : sw install request cmi-544806,non-automatable,,
unix:client addition tasks - issue,non-automatable,,
problematic client add tickets - unix,non-automatable,,
ps348 : sw install request cmi-422826,non-automatable,,
please register this server,non-automatable,,
unix: please enable bi-directional password-less ssh,non-automatable,,
web:powercom pricebook request,non-automatable,,
"port opening dcdn-b8xkbf:  approved
see approval database for details.",non-automatable,,
lr596 : sw uninstall request cmi-671771,non-automatable,,
km618 : sw install request cmi-387697,non-automatable,,
km618 : sw install request cmi-387690,non-automatable,,
"modification to port opening  dcdn-b93q75:  approved
see approval database for details.",non-automatable,,
web: cost reduction project database (crpd) request,non-automatable,,
ps5 -bd207 : sw install request cmi-388047,non-automatable,,
ps5 -ku717 : sw install request cmi-351321,non-automatable,,
"modification to  dcdn-b52n2p:  approved
see approval database for details.",non-automatable,,
ps5 -fv505 : sw install request cmi-396892,non-automatable,,
ps5 -fv505 : sw install request cmi-396895,non-automatable,,
web:nissan warranty pre-prod(aws) deployment,non-automatable,,
ps348 : sw install request cmi-422824,non-automatable,,
product registration access request,non-automatable,,
"modification to dcdn-b52n2p:  approved
see approval database for details",non-automatable,,
oracle dba,non-automatable,,
appworx : new appworx portal request ticket,non-automatable,,
build-receive hardware from cidc,non-automatable,,
notes-vpi product change request access request,non-automatable,,
\\xinrswputil01\cn.wux.newage\localsharedfolders\public\photos,non-automatable,,
oracle:wwims next generation access request,non-automatable,,
web:pdcs web request,non-automatable,,
\\icdrswputil01\kr.seo.ebu\localsharedfolders\commons,non-automatable,,
\\xinrswputil01\cn.wux.newage\localsharedfolders\general_cgtcdocumentcontrol,non-automatable,,
sql:database server is going to decommission. please check,non-automatable,,
web:please create ssl certificate for request number : 10509,non-automatable,,
windows:request no: cidm-b98eep,non-automatable,,
windows: request no: cidm-b93pnu,non-automatable,,
windows:request no: cidm-b93q29,non-automatable,,
windows:request no: cidm-b93qcn,non-automatable,,
windows: register avamar server on priority,non-automatable,,
\\ceciswputil01\cn.bei.rch\localsharedfolders\ces scm,non-automatable,,
bi -â via workflowâ 95833b83-ec59-424e-930c-3b39e6db03af,non-automatable,,
web:mactrack request,non-automatable,,
\\eardswputil01\cn.wuh.cfsw\localsharedfolders\mks_all,non-automatable,,
notes-ctt access request,non-automatable,,
unix: ebi admin request,non-automatable,,
"port opening dcdn-b98lyd:  approved
see approval database for details.",non-automatable,,
web: world wide extended coverage (wwec) request,non-automatable,,
web:nissan pre-prod (aws) deployment,non-automatable,,
windows: remove access from an existing file share,non-automatable,,
appworx: appworx access request,non-automatable,,
appworx: global engine tracking system (gets) request,non-automatable,,
one bms - south request,non-automatable,,
windows:internal only dns a record creation for cumminsapp.com,non-automatable,,
windows : request no: cidm-b6zqyy,non-automatable,,
deployment ticket to ops web,non-automatable,,
sql:sql - database access request,non-automatable,,
web : support request for a server,non-automatable,,
block request â url,non-automatable,,
appworx:websphere request,non-automatable,,
windows : ip shortage in mycloud for some vlans. please help us getting ips.,non-automatable,,
notes-ces mcr access request,non-automatable,,
service management request,non-automatable,,
oem13c agent preparation for server: acdcslpdb0073.aciz.cummins.com,non-automatable,,
web : cqms (cqms.cummins.com) request,non-automatable,,
srtweb request,non-automatable,,
windows:create new file share,non-automatable,,
windows: wwims next generation request,non-automatable,,
web: global engine tracking system (gets) request,non-automatable,,
unix: siebel on demand (sod) access request,non-automatable,,
build - 81443,non-automatable,,
appworx : support request for a server,non-automatable,,
notes-pgbu access request,non-automatable,,
appworx: appworx(prod) request,non-automatable,,
windows : cummins enterprise directory (ced) request,non-automatable,,
unix: addm access request,non-automatable,,
web: support request for a server,non-automatable,,
web:ebi admin request,non-automatable,,
appworx: appworx(prod) access request,non-automatable,,
notes-gdrive access request,non-automatable,,
ps5 -mz843 : sw install request cmi-382267,non-automatable,,
web: cbsbilling.cummins.com request,non-automatable,,
\\ceciswputil01\cn.bei.rch\localsharedfolders\engineering_cesdrawing,non-automatable,,
windows: goms - global order management systems (china pdc) request,non-automatable,,
unix : support request for a server,non-automatable,,
hi:appworx: appworx access request,non-automatable,,
oem service desk request,non-automatable,,
web : testops request,non-automatable,,
web : ldap request,non-automatable,,
"security exception dcdn-b94tg5:  approved 
see approval database for details.",non-automatable,,
je773 : sw uninstall request cmi-379026,non-automatable,,
appworx: new appworx portal request ticket,non-automatable,,
web:please create ssl certificate for request number : 10507,non-automatable,,
add power broker account oatsadmin into application servers.,non-automatable,,
web:channel one dealer portal (drupal) access request,non-automatable,,
web: fits web request,non-automatable,,
appworx : concur request,non-automatable,,
internet-network infrastructure support request,non-automatable,,
unix : appworx access request,non-automatable,,
sql: database server is going to decommission. please check,non-automatable,,
unix:wwims next generation request,non-automatable,,
"port opening dcdn-b9bsq3:  approved
see approval database for details.",non-automatable,,
unix : appworx(prod) access request,non-automatable,,
web : repair logistic support (rls) express request,non-automatable,,
ebi admin access request,non-automatable,,
web:please create ssl certificate for request number : 10511,non-automatable,,
mainframe - customer specification language (csl) access request,non-automatable,,
fa650 : sw install request cmi-533889,non-automatable,,
please block the mentioned email address on ml.,non-automatable,,
mv312 : sw install request cmi-406455,non-automatable,,
"port opening dcdn-b9ep2t:  approved
see approval database for details.",non-automatable,,
mp444 : sw uninstall request cmi-662129,non-automatable,,
web:please create ssl certificate for request number : 10512,non-automatable,,
"port opening dcdn-b9grxz:  approved
see approval database for details.",non-automatable,,
appworx: ebu non-erp invoicing solution (eni) request,non-automatable,,
web:please create ssl certificate for request number : 10510,non-automatable,,
ps5 -nw477 : sw install request cmi-347494,non-automatable,,
request for server configuration upgrade. server: ftdcsladb0009. please do the needful.,non-automatable,,
unix:add power broker account plmcon into application servers.,non-automatable,,
request for server configuration upgrade. server: silddb0001. please do the needful.,non-automatable,,
windows:appworx access request,non-automatable,,
web:pdcs web request,non-automatable,,
ps5 -ks891 : sw install request cmi-381177,non-automatable,,
ps5 -ks891 : sw install request cmi-381188,non-automatable,,
ps5 -mz498 : sw install request cmi-452414,non-automatable,,
web: oem service desk request,non-automatable,,
#decom# windows:support request for a server,non-automatable,,
cv499 : sw install request cmi-396245,non-automatable,,
cp598 : sw install request cmi-453695,non-automatable,,
appworx: appworx-prd access request,non-automatable,,
cs276 : sw install request cmi-388899,non-automatable,,
oracle: cummins enterprise directory (ced) access request,non-automatable,,
"port opening dcdn-b9dq9r:  approved
see approval database for details.",non-automatable,,
cv499 : sw install request cmi-396263,non-automatable,,
\\xinrswputil01\cn.wux.newage\localsharedfolders\public\production,non-automatable,,
\\xinrswputil01\cn.wux.newage\localsharedfolders\public\weekly attendance report,non-automatable,,
unix:add power broker account plmiti into application servers.,non-automatable,,
bi -â via workflowâ 2810c0d0-b6f5-4233-a9dc-96b839ae3075,non-automatable,,
bi -â via workflowâ 4d844fbc-44c8-4465-9a75-2631dfb677bf,non-automatable,,
bi -â via workflowâ 8fa2ad87-708d-4b4d-8979-4d9804b2d691,non-automatable,,
appworx:new appworx portal request ticket,non-automatable,,
appworx: new appworx portal request ticket,non-automatable,,
ps162 : sw install request cmi-479129,non-automatable,,
unix:oem13c agent preparation for server: redcssapp003.redc.cummins.com,non-automatable,,
appworx: one bms - east access request,non-automatable,,
oem13c agent preparation for server: ftdcslsdb0048.ftiz.cummins.com,non-automatable,,
cv194 : sw install request cmi-388244,non-automatable,,
windows: request for server configuration upgrade. server: siwpvrns0002. please do the needful.,non-automatable,,
unix:request for server configuration upgrade. server: ftdcsldplmdb0016. please do the needful.,non-automatable,,
windows: cummins enterprise directory (ced) request,non-automatable,,
deploy chatbot environment in dev,non-automatable,,
hi : cummins distributor online services (cdos) request,non-automatable,,
"port opening dcdn-b9hlj5:  approved
see approval database for details.",non-automatable,,
ps5 -lm456 : sw install request cmi-320811,non-automatable,,
hi:middleware odi 11g access request,non-automatable,,
cs863 : sw install request cmi-268128,non-automatable,,
web:ebu finance request,non-automatable,,
ps5 -lm456 : sw install request cmi-336528,non-automatable,,
"port opening dcdn-b9gswk:  approved 
see approval database for details.",non-automatable,,
web: websphere access request,non-automatable,,
mv928 : sw install request cmi-616444,non-automatable,,
cd452 : sw install request cmi-513590,non-automatable,,
manufacturing request_validate circuit,non-automatable,,
windows:request no: cidm-b9jqcp,non-automatable,,
"port opening dcdn-b9gr74:  approved f
see approval database for details.",non-automatable,,
windows:create a new file share,non-automatable,,
#build#support request for a server,non-automatable,,
notes-gam - deletion of account request,non-automatable,,
lms support web page form request,non-automatable,,
ps5 -nn209 : sw install request cmi-381164,non-automatable,,
"modification to dcdn-b5ng2l: approved
see approval database for details",non-automatable,,
web: rapidserve web (rsw) request,non-automatable,,
windows :support request for a server,non-automatable,,
web:extended coverage warranty (ecw) - web request,non-automatable,,
please provide access to scsm,non-automatable,,
windows:server storage allocationvirtualwindows1,non-automatable,,
unix: cost reduction project database (crpd) request,non-automatable,,
windows:request no: cidm-b9ahjp,non-automatable,,
ok443 : sw install request cmi-503069,non-automatable,,
update qs295's notes account  from  min zhou  to  minn zhou,non-automatable,,
"modification to dcdn-b98lyd:  approved
see approval database for details.",non-automatable,,
notes-xpi teardown reports access request,non-automatable,,
windows: register client in avamar server,non-automatable,,
web: please create ssl certificate for request number : 10502,non-automatable,,
oem service desk access request,non-automatable,,
get the given urls blocked and re-categorized as gaming/gambling,non-automatable,,
web:lrs access request,non-automatable,,
database:support request for a server,non-automatable,,
web:nissan prod saml assertion,non-automatable,,
web: product problem solving (pps) request,non-automatable,,
abo india giea imports accounting access request,non-automatable,,
open remote access,non-automatable,,
hi:one bms release 2.5,non-automatable,,
global epd access request,non-automatable,,
windows:request no: cidm-b9jkf3,non-automatable,,
windows:request no: cidm-b9jjrj,non-automatable,,
windows:backup schedule change,non-automatable,,
request no: cidm-b6hhcl,non-automatable,,
completed build 81452,non-automatable,,
request no: cidm-b9bmmt,non-automatable,,
windows: request no: cidm-b9asp4,non-automatable,,
windows:request no: cidm-b98twu,non-automatable,,
windows : request no: cidm-b9hrfq,non-automatable,,
notes-hr access approval access request,non-automatable,,
completed build 81419,non-automatable,,
hi:bms - canada application,non-automatable,,
port opening requests,non-automatable,,
completed build 81421,non-automatable,,
please block the mentioned email address on ml,non-automatable,,
"modification to  dcdn-b8x4z7:  approved
see approval database for details.",non-automatable,,
"please block the mentioned url in malicious category,",non-automatable,,
mainframe - performance issues access request,non-automatable,,
windows: file share ownership change,non-automatable,,
web:scm intranet website request,non-automatable,,
block request-sender,non-automatable,,
adp payroll access request,non-automatable,,
hi: appworx access request,non-automatable,,
unix: server storage allocationvirtualunix1,non-automatable,,
please create ssl certificate for request number : 10516,non-automatable,,
block request- email,non-automatable,,
web:remedy itsm 9.1 access request,non-automatable,,
please provide read and write access to below windows path and subsequent folders,non-automatable,,
web : ldap access request,non-automatable,,
completed build 81420,non-automatable,,
sql:sql - database access request,non-automatable,,
web:remedy itsm 9.1 access request,non-automatable,,
cd420 : sw install request cmi-622785,non-automatable,,
cr738 : sw install request cmi-587148,non-automatable,,
mv536 : sw install request cmi-343519,non-automatable,,
#decom# proceed with decommission of the server,non-automatable,,
web: policy request system (prs) request,non-automatable,,
nissan c2cl migration ticket for ops internet/network team,non-automatable,,
web:access control for apex prof fw access request,non-automatable,,
web:provide onepay extras stage logs,non-automatable,,
web:repair logistic support (rls) express request,non-automatable,,
unix:product registration request,non-automatable,,
block request-email,non-automatable,,
email block,non-automatable,,
please add the group sctg_cop to the vobadm account as additional group,non-automatable,,
"port closure dcdn-b9jrk4:  approved
see approval database for details.",non-automatable,,
"renewal of dcdn-a6xs7x:  approved
see approval database for details.",non-automatable,,
"port opening dcdn-b9jsrn:  approved 
see approval database for details.",non-automatable,,
"port opening dcdn-b9jqjk:  approved
see approval database for details.",non-automatable,,
web:onepay extras stage deployment,non-automatable,,
"security exception dcdn-b9cjut:  approved 
see approval database for details.",non-automatable,,
oracle transportation management access request,non-automatable,,
kb156 : sw install request cmi-631623,non-automatable,,
obiee - ebu service analytics phase 2.3(insite) access request,non-automatable,,
oracle: support request for a server,non-automatable,,
ca052 : sw install request cmi-587784,non-automatable,,
request no: cidm-b8rns4,non-automatable,,
request for server configuration upgrade. server: ftdcslsapp0038. please do the needful.,non-automatable,,
please create ssl certificate for request number : 10517,non-automatable,,
web:bms - western canada request,non-automatable,,
unix: cummins distributor online services (cdos) request,non-automatable,,
web:product registration request,non-automatable,,
request no: cidm-b9ahsc,non-automatable,,
windows: request no: cidm-b9ahmc,non-automatable,,
unix:bms - caribbean access request,non-automatable,,
pr598 : sw install request cmi-637851,non-automatable,,
oracle: appworx access request,non-automatable,,
wwid =lk070 req#33507 cat#:new requirement sub-cat#:voip phone,non-automatable,,
reopen: wwid =qt551 req#33359 cat#:new requirement sub-cat#:data card,non-automatable,,
web : wwsps request,non-automatable,,
web:speed request,non-automatable,,
nissan c2cl migration ticket for ops dba,non-automatable,,
nissan c2cl migration ticket for cloud operations team,non-automatable,,
windows:nissan c2cl migration ticket for ops windows,non-automatable,,
"appworx:nissan prod appworx migration on sat, 23-feb-2019",non-automatable,,
"renewal of port opening jlsn-a6xs7x:  approved
see approval database for details.",non-automatable,,
unix: ebi admin access request,non-automatable,,
oracle : support request for a server,non-automatable,,
unix:middleware soa suite 11g request,non-automatable,,
unix:oem13c agent preparation for server: acdcslpplmdb0006.aciz.cummins.com,non-automatable,,
appworx : websphere access request,non-automatable,,
npid-web request,non-automatable,,
onepay extras stage application is down,non-automatable,,
web: cbl request,non-automatable,,
nissan c2cl migration ticket for ops web,non-automatable,,
backup is failing with backup nic /telnet and rpc issue,non-automatable,,
appworx: cols request,non-automatable,,
web: ebu finance request,non-automatable,,
#decomm#please proceed with decommission,non-automatable,,
"port opening dcdn-b9hkyk:  approved
see approval database for details.",non-automatable,,
unix: ibm clearcase access request,non-automatable,,
hi: pgbu - mr warranty maintenance request,non-automatable,,
#decomm#proceed with decommission of the server,non-automatable,,
onepay extras stage logs,non-automatable,,
web: ldap scripts request,non-automatable,,
hi: support request for a server,non-automatable,,
email block request.,non-automatable,,
web:siebel on demand (sod) access request,non-automatable,,
web : onepay extras stage deployment,non-automatable,,
"renewal of port opening for sady-b6qs66
reference approved details in approvals database",non-automatable,,
web:testops request,non-automatable,,
"port opening dcdn-b9ljnb:  approved 
see approval database for details.",non-automatable,,
"renewal of port opening dcdn-awvrnw:  approved. 
see approval database for details.",non-automatable,,
#decomm# windows:support request for a server,non-automatable,,
ps5 -nc925 : sw install request cmi-434574,non-automatable,,
"port opening dcdn-b9qj56:  approved
see approval database for details.",non-automatable,,
backup failed with backup nic telnet and rpc issue.,non-automatable,,
middleware odi 11g access request,non-automatable,,
please clone the database prdstby to intupgrd,non-automatable,,
"renewal of  gwet-a7pu6f: approved. 
see approval database for details.",non-automatable,,
block request-url,non-automatable,,
"modification of port opening dcdn-b4dqfk:  approved. 
see approval database for details.",non-automatable,,
windows:internet-network infrastructure support request,non-automatable,,
web: remedy itsm 9.1 access request,non-automatable,,
notes-production problem request access request,non-automatable,,
request no: cidm-b9m8jm,non-automatable,,
bi -â via workflowâ 8f0c5cca-3514-40f8-95e2-837d1d7b3258,non-automatable,,
ps272 : sw install request cmi-652900,non-automatable,,
"modification to  dcdn-b56rd3:  approved
see approval database for details.",non-automatable,,
"security exception dcdn-b9lrkq:  approved
see approval database for details.",non-automatable,,
unix: websphere request,non-automatable,,
web : onepay extras request,non-automatable,,
ps272 : sw install request cmi-421296,non-automatable,,
cummins ims system,non-automatable,,
global engine tracking system (gets) request,non-automatable,,
hj352 : sw uninstall request cmi-674665,non-automatable,,
jf907 : sw uninstall request cmi-674665,non-automatable,,
unix:oem13c agent preparation for server: ftezsldobiweb108.cummins.com,non-automatable,,
hi:network infrastructure support request,non-automatable,,
web:wwkitting request,non-automatable,,
windows: request no: cidm-b9mla2,non-automatable,,
unix: oem13c agent preparation for server: ftdcslsdb0051.ftiz.cummins.com,non-automatable,,
"modification to port opening dcdn-b6jp2x:  approved
see approval database for details.",non-automatable,,
hi:cummins distributor online services (cdos) request,non-automatable,,
please create ssl certificate for request number : 10521,non-automatable,,
please create ssl certificate for request number : 10520,non-automatable,,
please create ssl certificate for request number : 10519,non-automatable,,
please create ssl certificate for request number : 10518,non-automatable,,
windows: request no: cidm-b9qkbf,non-automatable,,
windows: special backup needed,non-automatable,,
windows: request no: cidm-b9rgae,non-automatable,,
windows:request no: cidm-b9jjuq,non-automatable,,
oem13c agent preparation for server: sdllracdb0006.ftdc.cummins.com,non-automatable,,
oem13c agent preparation for server: sdllracdb0007.ftdc.cummins.com,non-automatable,,
lv723 : sw uninstall request cmi-671771,non-automatable,,
web: distribution product compliance application (dpca) details required,non-automatable,,
ps5 -hs066 : sw install request cmi-516415,non-automatable,,
unix: cbs apps/sloth access request,non-automatable,,
ps5 -le255 : sw install request cmi-340117,non-automatable,,
oracle : wwims next generation access request,non-automatable,,
request no: cidm-b9ahrc,non-automatable,,
request no: cidm-b9hntw,non-automatable,,
web:wwsps request,non-automatable,,
ps5 -ha716 : sw install request cmi-389971,non-automatable,,
ps028 : sw install request cmi-388366,non-automatable,,
ce quote system request,non-automatable,,
appworx: appworx request,non-automatable,,
"security exception dcdn-b9cjlk:  approved 
see approval database for details.",non-automatable,,
domain block request,non-automatable,,
go297 : sw install request cmi-612228,non-automatable,,
web:rapidserve web (rsw) access request,non-automatable,,
windows:decommission request for ad group,non-automatable,,
"port opening dcdn-b9qtle:  approved 
see approval database for details.",non-automatable,,
go297 : sw install request cmi-657808,non-automatable,,
remove streaming group,non-automatable,,
ps5 -ky742 : sw install request cmi-487663,non-automatable,,
hi:goms - global order management systems (singapore) access request,non-automatable,,
hi:oracle - database request,non-automatable,,
"please block the complete mentioned url in malicious category,",non-automatable,,
\\ceciswputil01\cn.bei.rch\localsharedfolders\cbs_linehrpublic,non-automatable,,
\\ceciswputil01\cn.bei.rch\localsharedfolders\cbs_reporting,non-automatable,,
\\ceciswputil01\cn.bei.rch\localsharedfolders\cbschina_public,non-automatable,,
\\ceciswputil01\cn.bei.rch\localsharedfolders\cbs_newsupplier,non-automatable,,
web: please create ssl certificate for request number : 10525,non-automatable,,
notes-sst & credit approval access request,non-automatable,,
need url ebufinancesystems.cummins.com for sharepoint site,non-automatable,,
bl489 : sw install request cmi-355017,non-automatable,,
unix: websphere access request,non-automatable,,
qc332 : sw uninstall request cmi-639770,non-automatable,,
windows: appworx access request,non-automatable,,
unix:websphere access request,non-automatable,,
please create ssl certificate for request number : 10514,non-automatable,,
please create ssl certificate for request number : 10513,non-automatable,,
os551 : sw install request cmi-646651,non-automatable,,
windows :remove dns ip,non-automatable,,
sql:support request for a server,non-automatable,,
notes-cbs & corp applications access request,non-automatable,,
unix:request for server configuration upgrade. server: ftdcsldracdb403. please do the needful.,non-automatable,,
du885 : sw install request cmi-387816,non-automatable,,
unix:backup is failing with backup nic /telnet and rpc issue,non-automatable,,
io703 : sw install request cmi-666558,non-automatable,,
# decomm windows:support request for a server,non-automatable,,
\\ceciswputil01\cn.bei.rch\localsharedfolders\dbu finance,non-automatable,,
web: fleet eprofile request,non-automatable,,
# build support request for a server,non-automatable,,
"modification to  dcdn-b6jpbr:  approved  
see approval database for details..",non-automatable,,
qa250 : sw install request cmi-674226,non-automatable,,
\\cfcsswputil01\cn.sha.cmirep\localsharedfolders\pgbu,non-automatable,,
mv518 : sw install request cmi-668293,non-automatable,,
us.nsv.cbs (\\sdwputil6010),non-automatable,,
ie398 : sw install request cmi-637891,non-automatable,,
appworx:webparts request,non-automatable,,
##dcom##windows:support request for a server,non-automatable,,
windows:request no: cidm-b9rryy,non-automatable,,
please change it to http://ebam.cummins.com/ag/cummins,non-automatable,,
please add the following (vob) group in ctg unix and ced accounts.,non-automatable,,
unable to remote the following machines,non-automatable,,
web:testops access request,non-automatable,,
web : lrs request,non-automatable,,
mail group issue,non-automatable,,
unix : fleetguard access request,non-automatable,,
windows: request no: cidm-b9mngj,non-automatable,,
create a folder at the following location  - \\hclxswpfile01\in.noi.hclodc\localsharedfolders\,non-automatable,,
red prairie warehouse management system (atlanta - rdc ) request,non-automatable,,
other computer software,non-automatable,,
appworx:cummins distributor online services (cdos) access request,non-automatable,,
qg583 : sw uninstall request cmi-562072,non-automatable,,
mq564 : sw install request cmi-350353,non-automatable,,
mq564 : sw install request cmi-350687,non-automatable,,
lb488 : sw install request cmi-368337,non-automatable,,
ps5 -lj671 : sw install request cmi-632665,non-automatable,,
reopen: sharepoint site / application issue,non-automatable,,
build - 81496,non-automatable,,
unix: goms - global order management systems (mechelen) access request,non-automatable,,
hi: goms - global order management systems (mechelen) access request,non-automatable,,
build 81497,non-automatable,,
account management program system (amps) access request,non-automatable,,
request for server configuration upgrade. server: redcslpdb0001. please do the needful.,non-automatable,,
le789 : sw uninstall request cmi-459067,non-automatable,,
request for server configuration upgrade. server: ftdcslsinf0003. please do the needful.,non-automatable,,
request for server configuration upgrade. server: ftdcslsinf0002. please do the needful.,non-automatable,,
request for server configuration upgrade. server: ftdcslsinf0001. please do the needful.,non-automatable,,
web: power suite access request,non-automatable,,
py087 : sw uninstall request cmi-597191,non-automatable,,
"port opening dcdn-b9qlj5:  approved
see approval database for details.",non-automatable,,
windows : cummins distributor online services (cdos) request,non-automatable,,
citrix presentation server access request,non-automatable,,
"windows: request for information only (e.g. who has access, owner name)",non-automatable,,
web:ldap access request,non-automatable,,
\\cidcsdfs01\ebu_data01$\nactgx\fngroup_css\hhp_controls_tier4,non-automatable,,
\\eardswputil01\cn.wuh.eardc\localsharedfolders\eacontrols_swcpeshare,non-automatable,,
ov044 : sw install request cmi-628501,non-automatable,,
web : websphere access request,non-automatable,,
pk896 : sw uninstall request cmi-647382,non-automatable,,
appworx : extended coverage warranty (ecw) - web request,non-automatable,,
windows:service a/c addition,non-automatable,,
windows: request no: cidm-b9qsp3,non-automatable,,
web:mactrack request,non-automatable,,
"please block the below mentioned url in malicious category, 

http://rezzdxaa.gitatidpoomeiaui.com",non-automatable,,
wannetwork infrastructure support request,non-automatable,,
km631 : sw install request cmi-656953,non-automatable,,
request for server configuration upgrade. server: ftdcslsapp0039. please do the needful.,non-automatable,,
request for server configuration upgrade. server: acdcslpplmweb0012. please do the needful.,non-automatable,,
request for server configuration upgrade. server: acdcslpplmweb0013. please do the needful.,non-automatable,,
request for server configuration upgrade. server: redcslpplmapp0002. please do the needful.,non-automatable,,
request for server configuration upgrade. server: acdcslpplmweb0014. please do the needful.,non-automatable,,
"port opening dcdn-b955ft:  approved
see approval database for details.",non-automatable,,
request for server configuration upgrade. server: acdcslpplmapp0020. please do the needful.,non-automatable,,
request for server configuration upgrade. server: acdcslpplmapp0019. please do the needful.,non-automatable,,
request for server configuration upgrade. server: acdcslpplmapp0018. please do the needful.,non-automatable,,
request for server configuration upgrade. server: acdcslpplmapp0017. please do the needful.,non-automatable,,
request for server configuration upgrade. server: acdcslpplmapp0016. please do the needful.,non-automatable,,
build - 81444,non-automatable,,
request for server configuration upgrade. server: acdcslpplmweb0015. please do the needful.,non-automatable,,
web:group admin - websphere access request,non-automatable,,
unix: server storage allocationvirtualunix2,non-automatable,,
web:it time track request,non-automatable,,
web: 1ð¡ 8 access request,non-automatable,,
ov923 : sw install request cmi-654006,non-automatable,,
web:cummins online login access (cola) request,non-automatable,,
wwid utility request,non-automatable,,
appworx:appworx(prod) request,non-automatable,,
sql: server storage allocationvirtualwindows1,non-automatable,,
web:repeat visits request,non-automatable,,
web : engine performance and test(epat web) request,non-automatable,,
please create ssl certificate for request number : 10526,non-automatable,,
bi -â via workflowâ 2543e232-db1e-47c2-9358-09818bb9d000,non-automatable,,
web : wwkitting request,non-automatable,,
web : cars web application access request,non-automatable,,
driver safety/mis access request,non-automatable,,
km631 : sw install request cmi-662264,non-automatable,,
please add ra204 & ra205 to remedysupportteam <remedysupportteam@cummins.com> dl,non-automatable,,
#NAME?,non-automatable,,
request no: vgpe-b9sqpg,non-automatable,,
sql:microsoft self service bi access request,non-automatable,,
"port opening dcdn-b9ukl4:  approved
see approval database for details.",non-automatable,,
"port opening dcdn-b9ukv8:  approved
see approval database for details.",non-automatable,,
request no: vgpe-b9sqva,non-automatable,,
request no: vgpe-b9sqry,non-automatable,,
windows:request no: cidm-b9rjpe,non-automatable,,
request no: cidm-b9lk8u,non-automatable,,
windows:request no: cidm-b9jma6,non-automatable,,
